Source,Target,Weight
Storytelling,Variable Player Powers,87
Adventure,Storytelling,114
Fantasy,Storytelling,93
Action Points,Drafting,103
Hexagon Grid,Theme_Alternate History,78
Modular Board,Take That,76
Movies / TV / Radio theme,Team-Based Game,73
Horror,Movies / TV / Radio theme,59
Hand Management,Solo / Solitaire Game,243
Modular Board,Push Your Luck,70
Modular Board,Solo / Solitaire Game,126
Deduction,Push Your Luck,52
Push Your Luck,Solo / Solitaire Game,91
Push Your Luck,Science Fiction,66
Solo / Solitaire Game,World War II,90
Cooperative Game,Dice Rolling,584
Cooperative Game,Hand Management,338
Adventure,Hand Management,272
Cooperative Game,Set Collection,89
Novel-based,Set Collection,75
Cooperative Game,Fantasy,403
Simultaneous Action Selection,Team-Based Game,66
Cooperative Game,Modular Board,301
Cooperative Game,Pick-up and Deliver,56
Dice Rolling,Farming,51
Animals,Memory,123
Humor,Memory,84
Animals,Farming,61
Hand Management,TableauBuilding,88
Action Points,Area Movement,166
Dexterity,Roll / Spin and Move,53
Dice Rolling,Pattern Recognition,93
Economic,Grid Movement,54
Auction/Bidding,Take That,54
Fighting,Medieval,146
Tile Placement,Worker Placement,115
Roll / Spin and Move,Trivia,174
Line Drawing,Paper-and-Pencil,67
Physical,Team-Based Game,88
Team-Based Game,Trivia,50
Memory,Movies / TV / Radio theme,53
Movies / TV / Radio theme,Trivia,142
Nautical,Secret Unit Deployment,64
Action Points,Solo / Solitaire Game,121
Memory,Roll / Spin and Move,61
Deduction,Negotiation,61
Murder/Mystery,Variable Player Powers,57
Role Playing,Voting,54
Team-Based Game,Voting,95
Deduction,Player Elimination,112
Horror,Player Elimination,64
Deduction,Role Playing,88
Betting and Bluffing,Role Playing,84
Deduction,Traitor Game,55
Deduction,Horror,114
Betting and Bluffing,Traitor Game,56
Betting and Bluffing,Horror,70
Betting and Bluffing,Murder/Mystery,60
Horror,Murder/Mystery,65
Real-Time,Science Fiction,53
Adventure,Deduction,59
Deduction,Fighting,52
Deduction,Novel-based,61
Deduction,Movies / TV / Radio theme,75
Fantasy,Movies / TV / Radio theme,135
Adventure,Take That,70
Adventure,Humor,53
Hand Management,Variable Set-up,71
Race,Variable Player Powers,53
Aviation / Flight,World War II,92
Fighting,Physical,52
Events,Solo / Solitaire Game,63
Area Movement,Horror,63
Farming,Tile Placement,62
Events,World War II,57
Paper-and-Pencil,Solo / Solitaire Game,76
Area Movement,Solo / Solitaire Game,96
Hand Management,Horror,196
Fighting,Simulation,76
Cooperative Game,Roll / Spin and Move,63
Cooperative Game,Team-Based Game,104
Hand Management,Spies/Secret Agents,51
Memory,Murder/Mystery,68
Dice Rolling,Theme_Superheroes,59
Theme_Superheroes,Variable Player Powers,72
Real-Time,Team-Based Game,55
Adventure,Medieval,83
Cooperative Game,Fighting,236
Cooperative Game,Medieval,75
Role Playing,Storytelling,108
Deduction,Storytelling,98
Murder/Mystery,Storytelling,92
Area Movement,Campaign / Battle Card Driven,96
Fantasy,Science Fiction,108
Cooperative Game,Movies / TV / Radio theme,124
Animals,Area Majority / Influence,86
Civilization,Worker Placement,56
Dexterity,Pattern Recognition,119
Pattern Recognition,Set Collection,60
Modular Board,Pattern Building,54
Point to Point Movement,Tile Placement,52
Cooperative Game,Tile Placement,95
Hand Management,Storytelling,65
Storytelling,Voting,61
Humor,Real-Time,53
Humor,Storytelling,117
Role Playing,Science Fiction,73
Animals,Cooperative Game,66
Animals,Tile Placement,153
Auction/Bidding,Player Elimination,136
Movies / TV / Radio theme,Negotiation,68
Player Elimination,Trading,125
Movies / TV / Radio theme,Trading,66
Economic,Player Elimination,133
Dice Rolling,Re-rolling and Locking,66
Economic,Fantasy,70
Pick-up and Deliver,Tile Placement,61
Area Movement,Grid Movement,50
Point to Point Movement,Set Collection,104
Memory,Team-Based Game,70
Humor,Team-Based Game,71
Humor,Physical,119
Action Points,Campaign / Battle Card Driven,80
Mythology,Variable Player Powers,116
Fantasy,Video Game Theme,105
Memory,Player Elimination,56
Memory,Take That,65
Dexterity,Simultaneous Action Selection,51
Simulation,Square Grid,53
Betting and Bluffing,Trivia,92
Point to Point Movement,Solo / Solitaire Game,108
Point to Point Movement,World War II,56
Solo / Solitaire Game,Variable Set-up,67
Animals,Pattern Building,82
Humor,Movies / TV / Radio theme,75
Campaign / Battle Card Driven,Medieval,51
"Deck, Bag, and Pool Building",Dice Rolling,180
"Deck, Bag, and Pool Building",Hand Management,400
"Deck, Bag, and Pool Building",Variable Player Powers,219
"Deck, Bag, and Pool Building",Science Fiction,126
Push Your Luck,Take That,114
Science Fiction,Theme_Post-Apocalyptic,51
Grid Movement,Modern Warfare,98
Modern Warfare,Movement Points,54
Campaign / Battle Card Driven,Modular Board,68
Drafting,Role Playing,58
Action Points,World War II,84
Fighting,Solo / Solitaire Game,106
Chit-Pull System,Simulation,131
Modern Warfare,Scenario / Mission / Campaign Game,66
Fantasy,Solo / Solitaire Game,203
Medieval,Solo / Solitaire Game,74
Action Points,Economic,100
Campaign / Battle Card Driven,Solo / Solitaire Game,80
Ancient,Solo / Solitaire Game,51
Comic Book / Strip,Cooperative Game,54
Memory,Push Your Luck,67
Cooperative Game,Memory,118
Dexterity,Hand Management,61
Cooperative Game,Scenario / Mission / Campaign Game,97
Horror,Solo / Solitaire Game,52
Horror,Storytelling,70
Horror,Set Collection,58
Humor,Trivia,52
Memory,Pattern Recognition,81
Hand Management,Space Exploration,80
Horror,Take That,51
Drafting,Horror,65
Horror,Humor,81
Dice Rolling,Video Game Theme,98
Fighting,Video Game Theme,97
Chit-Pull System,World War II,103
Modern Warfare,Theme_Alternate History,58
Environmental,Tile Placement,52
Action Queue,Area Majority / Influence,69
Animals,Push Your Luck,111
Action Points,Movies / TV / Radio theme,51
Measurement Movement,Simulation,58
Hand Management,Video Game Theme,132
Variable Player Powers,Video Game Theme,126
Adventure,Area Majority / Influence,68
Cooperative Game,Dexterity,60
Dice Rolling,Travel,53
Set Collection,Travel,65
Deduction,Take That,58
Fighting,Mythology,68
Dexterity,Variable Player Powers,52
Humor,Push Your Luck,65
Environmental,Hand Management,53
Hand Management,Industry / Manufacturing,66
Drafting,Industry / Manufacturing,57
Cooperative Game,Solo / Solitaire Game,292
Cooperative Game,Storytelling,213
Cooperative Game,Murder/Mystery,116
Solo / Solitaire Game,Storytelling,59
Dice Rolling,Pattern Building,103
Area Movement,Cooperative Game,107
Economic,TableauBuilding,67
Animals,Fantasy,79
Animals,Drafting,147
Economic,Variable Phase Order,63
Hand Management,Worker Placement,178
Variable Player Powers,Worker Placement,160
"Deck, Bag, and Pool Building",Worker Placement,51
"Deck, Bag, and Pool Building",Fighting,168
"Deck, Bag, and Pool Building",Medieval,63
Dice Rolling,Line Drawing,52
Area Majority / Influence,Variable Phase Order,65
Action Points,Variable Phase Order,50
Dice Rolling,Storytelling,135
Cooperative Game,Drafting,97
Cooperative Game,Grid Movement,162
Campaign / Battle Card Driven,Hexagon Grid,71
Dexterity,Memory,62
Area Majority / Influence,Pick-up and Deliver,50
Spies/Secret Agents,Variable Player Powers,57
Simultaneous Action Selection,Solo / Solitaire Game,52
Set Collection,Solo / Solitaire Game,120
Drafting,Pattern Building,99
Modular Board,Worker Placement,112
City Building,Worker Placement,102
Economic,Solo / Solitaire Game,79
Cooperative Game,Real-Time,152
Area Majority / Influence,"Deck, Bag, and Pool Building",90
"Deck, Bag, and Pool Building",Fantasy,287
Area Majority / Influence,Mythology,69
Modular Board,Mythology,55
Comic Book / Strip,"Deck, Bag, and Pool Building",50
Area Majority / Influence,Solo / Solitaire Game,106
Role Playing,Solo / Solitaire Game,75
Action Points,Team-Based Game,58
Cooperative Game,Humor,67
Pattern Building,Set Collection,130
Horror,Push Your Luck,50
Science Fiction,Variable Phase Order,60
Humor,Role Playing,59
Modular Board,Variable Phase Order,58
Humor,Mature / Adult,80
Deduction,Real-Time,52
Hand Management,Variable Phase Order,91
Drafting,Mythology,78
Contracts,Set Collection,70
"Deck, Bag, and Pool Building",Set Collection,80
Solo / Solitaire Game,Tile Placement,92
Cooperative Game,Point to Point Movement,82
"Deck, Bag, and Pool Building",Drafting,260
Area Majority / Influence,Worker Placement,192
Take That,Worker Placement,58
Hand Management,Mature / Adult,71
Communication Limits,Hand Management,52
Communication Limits,Cooperative Game,86
Communication Limits,Deduction,62
Simultaneous Action Selection,Take That,82
"Deck, Bag, and Pool Building",Modular Board,77
Farming,Worker Placement,59
Drafting,Worker Placement,161
Ancient,Worker Placement,74
Cooperative Game,Zombies,71
Variable Player Powers,Zombies,64
Solo / Solitaire Game,Worker Placement,113
Drafting,Solo / Solitaire Game,154
Animals,Worker Placement,50
End Game Bonuses,Worker Placement,56
End Game Bonuses,Solo / Solitaire Game,55
City Building,Solo / Solitaire Game,50
"Deck, Bag, and Pool Building",Take That,78
Science Fiction,Worker Placement,97
"Deck, Bag, and Pool Building",Horror,51
Campaign / Battle Card Driven,Cooperative Game,51
"Deck, Bag, and Pool Building",Solo / Solitaire Game,98
Adventure,"Deck, Bag, and Pool Building",83
Cooperative Game,Push Your Luck,88
"Deck, Bag, and Pool Building",Grid Movement,57
"Deck, Bag, and Pool Building",Economic,52
Cooperative Game,"Deck, Bag, and Pool Building",136
