url,title,price,area_m2,floor,rooms,location,Típus,Szintek száma,Állapot,scrape_date,Fűtés,Energetikai besorolás,Napelem,Építés éve,Erkély,,Tervezett átadás,Terasz,Átlagos rezsiköltség
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-i-kerulet/8578776?page=3&pos=6&cr=300,"Budapest I. kerület eladó téglalakás 3 szobás: 112,9 millió Ft",112.9,68.0,68 m²,3.0,Budapest I. kerület,Téglalakás,5,Felújított,2025-08-17,,Nem adta meg a hirdető,,1932,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xi-kerulet-kelenfold/8551508?page=3&pos=7&cr=300,,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xi-kerulet-sasad-sashegy-xi-ker/8662045?page=3&pos=8&cr=300,Budapest XI. kerület eladó téglalakás 4 szobás: 140 millió Ft,140.0,86.0,86 m²,4.0,"Budapest XI. kerület, Sasad-Sashegy XI. ker.",Téglalakás,4,Felújított,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xii-kerulet-orbanhegy/8662419?page=3&pos=9&cr=300,Budapest XII. kerület eladó téglalakás 3 szobás: 97 millió Ft,97.0,54.0,54 m²,3.0,"Budapest XII. kerület, Orbánhegy, Fodor utca",Téglalakás,4,Felújított,2025-08-17,Elektromos,Nem adta meg a hirdető,Nincs,1970,5 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-v-kerulet/8369090?page=3&pos=10&cr=300,"Budapest V. kerület eladó téglalakás 3 szobás: 179,9 millió Ft",179.9,105.0,105 m²,3.0,Budapest V. kerület,Téglalakás,,,2025-08-17,,Nem adta meg a hirdető,,1950,,,,,
https://www.zenga.hu/ingatlan/elado-csusztatott-zsalus-lakas-budapest-xiv-kerulet/8612857?page=3&pos=11&cr=300,"Budapest XIV. kerület eladó csúsztatott zsalus lakás: 69,9 millió Ft",69.9,53.0,53 m²,1.0,Budapest XIV. kerület,Csúsztatott zsalus lakás,1,Jó állapotú,2025-08-17,Távfűtés egyedi méréssel,Nem adta meg a hirdető,,1960,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xi-kerulet-sasad-sashegy-xi-ker/8613221?page=3&pos=12&cr=300,Eladó 3 szobás téglalakás Budapest XI. kerületben,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-egyeb-lakas-budapest-xii-kerulet/8575536?page=3&pos=13&cr=300,"Budapest XII. kerület eladó egyéb lakás 3+1 fél szobás: 179,9 millió Ft",179.9,128.0,128 m²,3.0,Budapest XII. kerület,Egyéb lakás,,Átlagos,2025-08-17,,Nem adta meg a hirdető,,1938,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xi-kerulet-sasad-sashegy-xi-ker/8611678?page=3&pos=14&cr=300,,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ii-kerulet-rezmal/8174214?page=3&pos=15&cr=300,"Budapest II. kerület eladó téglalakás 3 szobás: 266,6 millió Ft",266.6,75.0,75 m²,3.0,"Budapest II. kerület, Rézmál",Téglalakás,1,Új építésű,2025-08-17,,Nem adta meg a hirdető,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ii-kerulet-vizivaros-ii-ker/8619230?page=3&pos=16&cr=300,"Budapest II. kerület eladó téglalakás 1+1 fél szobás: 74,9 millió Ft",74.9,45.0,45 m²,1.0,"Budapest II. kerület, Víziváros II. ker",Téglalakás,6,Felújított,2025-08-17,Gázkazán,E,,,,,,,
https://www.zenga.hu/ingatlan/elado-tarsashazi-lakas-budapest-vii-kerulet/8505022?page=3&pos=18&cr=300,Budapest VII. kerület eladó társasházi lakás 3 szobás: 96 millió Ft,96.0,88.0,88 m²,3.0,Budapest VII. kerület,Társasházi lakás,4,Jó állapotú,2025-08-17,Gázkazán,B,,2007,,,,7 m²,40 000 Ft/hó
https://www.zenga.hu/ingatlan/elado-tarsashazi-lakas-budapest-vii-kerulet-nagykoruton-beluli-terulet/8590547?page=3&pos=19&cr=300,Budapest VII. kerület eladó társasházi lakás 1 szobás: 59 millió Ft,59.0,29.0,29 m²,1.0,"Budapest VII. kerület, Belső-Erzsébetváros",Társasházi lakás,5,Jó állapotú,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,Nincs,1900,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xi-kerulet-sasad-sashegy-xi-ker/8613223?page=3&pos=20&cr=290,Budapest XI. kerület eladó téglalakás 3 szobás: 95 millió Ft,95.0,70.0,70 m²,3.0,"Budapest XI. kerület, Sasad-Sashegy XI. ker.",Téglalakás,,Felújított,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,,2004,6 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8652752?page=4&pos=4&cr=286,Budapest VIII. kerület eladó téglalakás 3 szobás: 79 millió Ft,79.0,66.0,66 m²,3.0,"Budapest VIII. kerület, Nagy Fuvaros utca",Téglalakás,,,2025-08-17,Fan coil,Nem adta meg a hirdető,,1920,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8653408?page=4&pos=5&cr=286,"Budapest VIII. kerület eladó téglalakás 3 szobás: 84,9 millió Ft",84.9,109.0,109 m²,3.0,Budapest VIII. kerület,Téglalakás,,,2025-08-17,Cserépkályha,Nem adta meg a hirdető,,1920,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8661123?page=4&pos=7&cr=286,"Budapest VIII. kerület eladó téglalakás 2 szobás: 70,9 millió Ft",70.9,76.0,76 m²,2.0,Budapest VIII. kerület,Téglalakás,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8665086?page=4&pos=8&cr=286,"Budapest VIII. kerület eladó téglalakás 2 szobás: 69,9 millió Ft",69.9,64.0,64 m²,2.0,"Budapest VIII. kerület, Baross utca",Téglalakás,4,Jó állapotú,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1898,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8661128?page=4&pos=9&cr=286,"Budapest VIII. kerület eladó téglalakás 4 szobás: 99,9 millió Ft",99.9,92.0,92 m²,4.0,"Budapest VIII. kerület, Fiumei út",Téglalakás,,,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,,1909,8 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8662685?page=4&pos=10&cr=286,"Budapest VIII. kerület eladó téglalakás 3 szobás: 97,01 millió Ft",97.01,84.0,84 m²,3.0,Budapest VIII. kerület,Téglalakás,4,Jó állapotú,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1909,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8662050?page=4&pos=11&cr=286,"Budapest VIII. kerület eladó téglalakás 3 szobás: 108,89 millió Ft",108.89,90.0,90 m²,3.0,Budapest VIII. kerület,Téglalakás,4,Jó állapotú,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,,1920,2 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8657248?page=4&pos=12&cr=286,"Budapest VIII. kerület eladó téglalakás 4 szobás: 84,9 millió Ft",84.9,94.0,94 m²,4.0,Budapest VIII. kerület,Téglalakás,3,Jó állapotú,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1895,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8654391?page=4&pos=13&cr=286,Budapest VIII. kerület eladó téglalakás 1 szobás: 32 millió Ft,32.0,15.0,15 m²,1.0,"Budapest VIII. kerület, Baross utca",Téglalakás,3,Újszerű,2025-08-17,Egyéb,Nem adta meg a hirdető,,1950,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8657303?page=4&pos=14&cr=286,"Budapest VIII. kerület eladó téglalakás 2 szobás: 69,9 millió Ft",69.9,76.0,76 m²,2.0,"Budapest VIII. kerület, Berzsenyi utca",Téglalakás,2,Átlagos,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1900,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiv-kerulet-istvanmezo/8637837?page=4&pos=15&cr=265,Budapest XIV. kerület eladó téglalakás 2 szobás: 63 millió Ft,63.0,60.0,60 m²,2.0,"Budapest XIV. kerület, Istvánmező",Téglalakás,,Átlagos,2025-08-17,Gázkazán,Nem adta meg a hirdető,Nincs,1920,,,,,
